x,g
0,-0.49450467
0.1,0.074882224
0.2,-0.280201153
0.3,0.018639459
0.4,0.639046545
0.5,0.727185342
0.6,0.485092813
0.7,0.963801405
0.8,1.159105789
0.9,2.008918263
1,1.930847198
1.1,2.843770713
1.2,4.143790566
1.3,5.014551507
1.4,5.952787591
1.5,6.913618934
1.6,8.03577976
1.7,9.551625656
1.8,11.13870628
1.9,12.76217261
2,15.47325475
2.1,16.88943329
2.2,19.69117887
2.3,21.68001629
2.4,24.44268896
2.5,28.17440543
2.6,30.99558273
2.7,33.84180928
2.8,37.84754694
2.9,41.12278565
